model: 1719922985, 1719922998.761, 0.54, 0.2499, 0.56, 0.24691039323806763
model: 1719922985, 1719922998.868, 0.56, 0.2457, 0.56, 0.25443121790885925
model: 1719922985, 1719922998.978, 0.42, 0.2871, 0.56, 0.24820496141910553
model: 1719922985, 1719922999.068, 0.4, 0.26, 0.56, 0.24934278428554535
model: 1719922985, 1719922999.187, 0.64, 0.2494, 0.5, 0.24938590824604034
model: 1719922985, 1719922999.289, 0.58, 0.2491, 0.5, 0.25007638335227966
model: 1719922985, 1719922999.384, 0.54, 0.2488, 0.54, 0.24896737933158875
model: 1719922985, 1719922999.5, 0.38, 0.2537, 0.5, 0.25019609928131104
model: 1719922985, 1719922999.603, 0.58, 0.2481, 0.5, 0.24992622435092926
model: 1719922985, 1719922999.701, 0.64, 0.2465, 0.54, 0.24850545823574066
model: 1719922985, 1719922999.8, 0.6, 0.2472, 0.62, 0.2458680272102356
model: 1719922985, 1719922999.917, 0.42, 0.2536, 0.4, 0.25418373942375183
model: 1719922985, 1719923000.017, 0.5, 0.2502, 0.48, 0.25086236000061035
model: 1719922985, 1719923000.117, 0.6, 0.2465, 0.4, 0.2535739839076996
model: 1719922985, 1719923000.217, 0.46, 0.2511, 0.46, 0.25101810693740845
model: 1719922985, 1719923000.317, 0.44, 0.2517, 0.56, 0.24788330495357513
model: 1719922985, 1719923000.433, 0.42, 0.2514, 0.54, 0.2497139722108841
model: 1719922985, 1719923000.535, 0.48, 0.2506, 0.5, 0.25057747960090637
model: 1719922985, 1719923000.633, 0.54, 0.2492, 0.52, 0.2504757046699524
model: 1719922985, 1719923000.735, 0.46, 0.2524, 0.66, 0.24396976828575134
model: 1719922985, 1719923000.849, 0.6, 0.2447, 0.46, 0.2508465051651001
model: 1719922985, 1719923000.95, 0.56, 0.2463, 0.4, 0.2523643672466278
model: 1719922985, 1719923001.049, 0.58, 0.2463, 0.62, 0.24282771348953247
model: 1719922985, 1719923001.149, 0.5, 0.2495, 0.48, 0.2530653774738312
model: 1719922985, 1719923001.266, 0.46, 0.2556, 0.64, 0.24330617487430573
model: 1719922985, 1719923001.366, 0.46, 0.2516, 0.54, 0.24714402854442596
model: 1719922985, 1719923001.466, 0.6, 0.2446, 0.44, 0.2460600882768631
model: 1719922985, 1719923001.567, 0.48, 0.251, 0.54, 0.2516430616378784
model: 1719922985, 1719923001.672, 0.54, 0.2441, 0.5714285714285714, 0.25360697507858276
model: 1719922985, 1719923001.77, 0.44, 0.2472, 0.54, 0.2534886598587036
model: 1719922985, 1719923001.881, 0.64, 0.2386, 0.48, 0.24971003830432892
model: 1719922985, 1719923001.965, 0.5, 0.2483, 0.58, 0.24940688908100128
model: 1719922985, 1719923002.067, 0.5, 0.2583, 0.44, 0.2503019869327545
model: 1719922985, 1719923002.181, 0.48, 0.2555, 0.68, 0.23456211388111115
model: 1719922985, 1719923002.283, 0.48, 0.2551, 0.64, 0.24586765468120575
model: 1719922985, 1719923002.381, 0.56, 0.2499, 0.58, 0.251432865858078
model: 1719922985, 1719923002.481, 0.5, 0.2513, 0.72, 0.23689711093902588
